link_dir, tx_beam, rx_beam, mcs, tx_mask22, tx_mask23, tx_mask24, rx_mask22, rx_mask23, rx_mask24, tx_gain_idx, rx_rf_gain_idx, rx_if_gain_idx, stf_snr, post_snr, rssi, rssi std, tx temp, rx temp
1to2, 1, 54, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 10, 9, 7, -12, 0, 50 , 54 
1to2, 1, 55, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 13, 6, 5, -12, 0, 50 , 54 
1to2, 1, 56, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 10, 15, 8, -15, 0, 50 , 54 
1to2, 1, 57, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 2, 10, 21, 16, -14, 0, 50 , 54 
1to2, 1, 58, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 9, 16, 11, -14, 0, 50 , 54 
1to2, 1, 59, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 10, 8, 6, -14, 0, 50 , 54 
1to2, 1, 60, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 6, 12, 10, -14, 0, 50 , 54 
1to2, 1, 61, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 6, 13, 10, -12, 0, 50 , 54 
1to2, 1, 62, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 9, 16, 8, -14, 0, 50 , 54 
1to2, 1, 63, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 11, 14, 9, -14, 0, 50 , 54 
1to2, 2, 0, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 0, 10, 24, 18, -16, 0, 52 , 54 
1to2, 2, 1, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 1, 8, 22, 17, -14, 0, 52 , 54 
1to2, 2, 2, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 2, 9, 20, 17, -12, 0, 52 , 54 
1to2, 2, 3, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 2, 7, 22, 17, -14, 0, 52 , 54 
1to2, 2, 4, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 6, 17, 12, -14, 0, 52 , 54 
